time,service_name,tx_optical_power_dbm,rx_optical_power_dbm
2025-12-01T20:15:00Z,qld-aqd8-d4wv-wdms01,1.492,-9.603
2025-12-01T20:30:00Z,qld-aqd8-d4wv-wdms01,1.513,-9.604
2025-12-01T20:45:00Z,qld-aqd8-d4wv-wdms01,1.519,-9.559
2025-12-01T21:00:00Z,qld-aqd8-d4wv-wdms01,1.485,-9.424
2025-12-01T21:15:00Z,qld-aqd8-d4wv-wdms01,1.577,-9.487
2025-12-01T21:30:00Z,qld-aqd8-d4wv-wdms01,1.537,-9.289
2025-12-01T21:45:00Z,qld-aqd8-d4wv-wdms01,1.57,-9.458
2025-12-01T22:00:00Z,qld-aqd8-d4wv-wdms01,1.602,-9.479
2025-12-01T22:15:00Z,qld-aqd8-d4wv-wdms01,1.609,-9.44
2025-12-01T22:30:00Z,qld-aqd8-d4wv-wdms01,1.629,-9.405
2025-12-01T22:45:00Z,qld-aqd8-d4wv-wdms01,1.601,-9.376
2025-12-01T23:00:00Z,qld-aqd8-d4wv-wdms01,1.594,-9.23
2025-12-01T23:15:00Z,qld-aqd8-d4wv-wdms01,1.622,-9.45
2025-12-01T23:30:00Z,qld-aqd8-d4wv-wdms01,1.551,-9.3
2025-12-01T23:45:00Z,qld-aqd8-d4wv-wdms01,1.574,-9.339
2025-12-02T00:00:00Z,qld-aqd8-d4wv-wdms01,1.59,-9.469
2025-12-02T00:15:00Z,qld-aqd8-d4wv-wdms01,1.616,-9.271
2025-12-02T00:30:00Z,qld-aqd8-d4wv-wdms01,1.696,-9.22
2025-12-02T00:45:00Z,qld-aqd8-d4wv-wdms01,1.641,-9.38
2025-12-02T01:00:00Z,qld-aqd8-d4wv-wdms01,1.678,-9.303
2025-12-02T01:15:00Z,qld-aqd8-d4wv-wdms01,1.771,-9.432
2025-12-02T01:30:00Z,qld-aqd8-d4wv-wdms01,1.698,-9.388
2025-12-02T01:45:00Z,qld-aqd8-d4wv-wdms01,1.762,-9.197
2025-12-02T02:00:00Z,qld-aqd8-d4wv-wdms01,1.687,-9.313
2025-12-02T02:15:00Z,qld-aqd8-d4wv-wdms01,1.733,-9.36
2025-12-02T02:30:00Z,qld-aqd8-d4wv-wdms01,1.704,-9.249
2025-12-02T02:45:00Z,qld-aqd8-d4wv-wdms01,1.742,-9.307
2025-12-02T03:00:00Z,qld-aqd8-d4wv-wdms01,1.809,-9.302
2025-12-02T03:15:00Z,qld-aqd8-d4wv-wdms01,1.687,-9.205
2025-12-02T03:30:00Z,qld-aqd8-d4wv-wdms01,1.802,-9.358
2025-12-02T03:45:00Z,qld-aqd8-d4wv-wdms01,1.798,-9.34
2025-12-02T04:00:00Z,qld-aqd8-d4wv-wdms01,1.762,-9.258
2025-12-02T04:15:00Z,qld-aqd8-d4wv-wdms01,1.724,-9.197
2025-12-02T04:30:00Z,qld-aqd8-d4wv-wdms01,1.805,-9.181
2025-12-02T04:45:00Z,qld-aqd8-d4wv-wdms01,1.778,-9.339
2025-12-02T05:00:00Z,qld-aqd8-d4wv-wdms01,1.819,-9.219
2025-12-02T05:15:00Z,qld-aqd8-d4wv-wdms01,1.811,-9.365
2025-12-02T05:30:00Z,qld-aqd8-d4wv-wdms01,1.892,-9.165
2025-12-02T05:45:00Z,qld-aqd8-d4wv-wdms01,1.801,-9.412
2025-12-02T06:00:00Z,qld-aqd8-d4wv-wdms01,1.763,-9.226
2025-12-02T06:15:00Z,qld-aqd8-d4wv-wdms01,1.823,-9.396
2025-12-02T06:30:00Z,qld-aqd8-d4wv-wdms01,1.824,-9.195
2025-12-02T06:45:00Z,qld-aqd8-d4wv-wdms01,1.88,-9.323
2025-12-02T07:00:00Z,qld-aqd8-d4wv-wdms01,1.852,-9.465
2025-12-02T07:15:00Z,qld-aqd8-d4wv-wdms01,1.825,-9.44
2025-12-02T07:30:00Z,qld-aqd8-d4wv-wdms01,1.877,-9.351
2025-12-02T07:45:00Z,qld-aqd8-d4wv-wdms01,1.741,-9.345
2025-12-02T08:00:00Z,qld-aqd8-d4wv-wdms01,1.764,-9.451
2025-12-02T08:15:00Z,qld-aqd8-d4wv-wdms01,1.744,-9.458
2025-12-02T08:30:00Z,qld-aqd8-d4wv-wdms01,1.766,-9.418
2025-12-02T08:45:00Z,qld-aqd8-d4wv-wdms01,1.71,-9.485
2025-12-02T09:00:00Z,qld-aqd8-d4wv-wdms01,1.804,-9.616
2025-12-02T09:15:00Z,qld-aqd8-d4wv-wdms01,1.755,-9.595
2025-12-02T09:30:00Z,qld-aqd8-d4wv-wdms01,1.685,-9.529
2025-12-02T09:45:00Z,qld-aqd8-d4wv-wdms01,1.7,-9.467
2025-12-02T10:00:00Z,qld-aqd8-d4wv-wdms01,1.758,-9.453
2025-12-02T10:15:00Z,qld-aqd8-d4wv-wdms01,1.776,-9.536
2025-12-02T10:30:00Z,qld-aqd8-d4wv-wdms01,1.825,-9.593
2025-12-02T10:45:00Z,qld-aqd8-d4wv-wdms01,1.862,-9.572
2025-12-02T11:00:00Z,qld-aqd8-d4wv-wdms01,1.727,-9.701
2025-12-02T11:15:00Z,qld-aqd8-d4wv-wdms01,1.648,-9.676
2025-12-02T11:30:00Z,qld-aqd8-d4wv-wdms01,1.581,-9.745
2025-12-02T11:45:00Z,qld-aqd8-d4wv-wdms01,1.691,-9.793
2025-12-02T12:00:00Z,qld-aqd8-d4wv-wdms01,1.628,-9.68
2025-12-02T12:15:00Z,qld-aqd8-d4wv-wdms01,1.638,-9.705
2025-12-02T12:30:00Z,qld-aqd8-d4wv-wdms01,1.618,-9.678
2025-12-02T12:45:00Z,qld-aqd8-d4wv-wdms01,1.632,-9.7
2025-12-02T13:00:00Z,qld-aqd8-d4wv-wdms01,1.683,-9.736
2025-12-02T13:15:00Z,qld-aqd8-d4wv-wdms01,1.628,-9.72
2025-12-02T13:30:00Z,qld-aqd8-d4wv-wdms01,1.603,-9.777
2025-12-02T13:45:00Z,qld-aqd8-d4wv-wdms01,1.551,-9.749
2025-12-02T14:00:00Z,qld-aqd8-d4wv-wdms01,1.51,-9.847
2025-12-02T14:15:00Z,qld-aqd8-d4wv-wdms01,1.561,-9.766
2025-12-02T14:30:00Z,qld-aqd8-d4wv-wdms01,1.575,-9.747
2025-12-02T14:45:00Z,qld-aqd8-d4wv-wdms01,1.658,-9.858
2025-12-02T15:00:00Z,qld-aqd8-d4wv-wdms01,1.569,-9.803
2025-12-02T15:15:00Z,qld-aqd8-d4wv-wdms01,1.605,-9.859
2025-12-02T15:30:00Z,qld-aqd8-d4wv-wdms01,1.525,-9.852
2025-12-02T15:45:00Z,qld-aqd8-d4wv-wdms01,1.485,-9.9
2025-12-02T16:00:00Z,qld-aqd8-d4wv-wdms01,1.491,-9.707
2025-12-02T16:15:00Z,qld-aqd8-d4wv-wdms01,1.498,-9.721
2025-12-02T16:30:00Z,qld-aqd8-d4wv-wdms01,1.481,-10.801
2025-12-02T16:45:00Z,qld-aqd8-d4wv-wdms01,1.33,-10.682
2025-12-02T17:00:00Z,qld-aqd8-d4wv-wdms01,1.41,-10.85
2025-12-02T17:15:00Z,qld-aqd8-d4wv-wdms01,1.477,-9.544
2025-12-02T17:30:00Z,qld-aqd8-d4wv-wdms01,1.567,-9.798
2025-12-02T17:45:00Z,qld-aqd8-d4wv-wdms01,1.538,-9.751
2025-12-02T18:00:00Z,qld-aqd8-d4wv-wdms01,1.511,-9.794
2025-12-02T18:15:00Z,qld-aqd8-d4wv-wdms01,1.517,-9.723
2025-12-02T18:30:00Z,qld-aqd8-d4wv-wdms01,1.487,-9.675
2025-12-02T18:45:00Z,qld-aqd8-d4wv-wdms01,1.544,-9.74
2025-12-02T19:00:00Z,qld-aqd8-d4wv-wdms01,1.501,-9.577
2025-12-02T19:15:00Z,qld-aqd8-d4wv-wdms01,1.465,-9.687
2025-12-02T19:30:00Z,qld-aqd8-d4wv-wdms01,1.466,-9.671
2025-12-02T19:45:00Z,qld-aqd8-d4wv-wdms01,1.542,-9.752
2025-12-02T20:00:00Z,qld-aqd8-d4wv-wdms01,1.617,-9.632
2025-12-02T20:15:00Z,qld-aqd8-d4wv-wdms01,1.551,-9.662
2025-12-02T20:30:00Z,qld-aqd8-d4wv-wdms01,1.543,-9.685
2025-12-02T20:45:00Z,qld-aqd8-d4wv-wdms01,1.569,-9.683
2025-12-02T21:00:00Z,qld-aqd8-d4wv-wdms01,1.627,-9.392
2025-12-02T21:15:00Z,qld-aqd8-d4wv-wdms01,1.579,-9.612
2025-12-02T21:30:00Z,qld-aqd8-d4wv-wdms01,1.555,-9.692
2025-12-02T21:45:00Z,qld-aqd8-d4wv-wdms01,1.639,-9.616
2025-12-02T22:00:00Z,qld-aqd8-d4wv-wdms01,1.613,-9.549
2025-12-02T22:15:00Z,qld-aqd8-d4wv-wdms01,1.677,-9.487
2025-12-02T22:30:00Z,qld-aqd8-d4wv-wdms01,1.618,-9.471
2025-12-02T22:45:00Z,qld-aqd8-d4wv-wdms01,1.557,-9.447
2025-12-02T23:00:00Z,qld-aqd8-d4wv-wdms01,1.559,-9.539
2025-12-02T23:15:00Z,qld-aqd8-d4wv-wdms01,1.719,-9.447
2025-12-02T23:30:00Z,qld-aqd8-d4wv-wdms01,1.732,-9.531
2025-12-02T23:45:00Z,qld-aqd8-d4wv-wdms01,1.647,-9.499
2025-12-03T00:00:00Z,qld-aqd8-d4wv-wdms01,1.482,-10.605
2025-12-03T00:15:00Z,qld-aqd8-d4wv-wdms01,1.584,-10.615
2025-12-03T00:30:00Z,qld-aqd8-d4wv-wdms01,1.465,-10.425
2025-12-03T00:45:00Z,qld-aqd8-d4wv-wdms01,1.485,-10.445
2025-12-03T01:00:00Z,qld-aqd8-d4wv-wdms01,1.571,-10.414
2025-12-03T01:15:00Z,qld-aqd8-d4wv-wdms01,1.692,-9.387
2025-12-03T01:30:00Z,qld-aqd8-d4wv-wdms01,1.721,-9.321
2025-12-03T01:45:00Z,qld-aqd8-d4wv-wdms01,1.721,-9.518
2025-12-03T02:00:00Z,qld-aqd8-d4wv-wdms01,1.755,-9.303
2025-12-03T02:15:00Z,qld-aqd8-d4wv-wdms01,1.816,-9.354
2025-12-03T02:30:00Z,qld-aqd8-d4wv-wdms01,1.758,-9.315
2025-12-03T02:45:00Z,qld-aqd8-d4wv-wdms01,1.793,-9.333
2025-12-03T03:00:00Z,qld-aqd8-d4wv-wdms01,1.665,-9.442
2025-12-03T03:15:00Z,qld-aqd8-d4wv-wdms01,1.772,-9.483
2025-12-03T03:30:00Z,qld-aqd8-d4wv-wdms01,1.738,-9.422
2025-12-03T03:45:00Z,qld-aqd8-d4wv-wdms01,1.725,-9.322
2025-12-03T04:00:00Z,qld-aqd8-d4wv-wdms01,1.746,-9.315
2025-12-03T04:15:00Z,qld-aqd8-d4wv-wdms01,1.778,-9.484
2025-12-03T04:30:00Z,qld-aqd8-d4wv-wdms01,1.844,-9.459
2025-12-03T04:45:00Z,qld-aqd8-d4wv-wdms01,1.735,-9.445
2025-12-03T05:00:00Z,qld-aqd8-d4wv-wdms01,1.805,-9.423
2025-12-03T05:15:00Z,qld-aqd8-d4wv-wdms01,1.782,-9.512
2025-12-03T05:30:00Z,qld-aqd8-d4wv-wdms01,1.791,-9.527
2025-12-03T05:45:00Z,qld-aqd8-d4wv-wdms01,1.858,-9.489
2025-12-03T06:00:00Z,qld-aqd8-d4wv-wdms01,1.834,-9.427
2025-12-03T06:15:00Z,qld-aqd8-d4wv-wdms01,1.874,-9.541
2025-12-03T06:30:00Z,qld-aqd8-d4wv-wdms01,1.798,-9.469
2025-12-03T06:45:00Z,qld-aqd8-d4wv-wdms01,1.769,-9.388
2025-12-03T07:00:00Z,qld-aqd8-d4wv-wdms01,1.79,-9.591
2025-12-03T07:15:00Z,qld-aqd8-d4wv-wdms01,1.81,-9.518
2025-12-03T07:30:00Z,qld-aqd8-d4wv-wdms01,1.803,-9.435
2025-12-03T07:45:00Z,qld-aqd8-d4wv-wdms01,1.735,-9.567
2025-12-03T08:00:00Z,qld-aqd8-d4wv-wdms01,1.789,-9.595
2025-12-03T08:15:00Z,qld-aqd8-d4wv-wdms01,1.79,-9.473
2025-12-03T08:30:00Z,qld-aqd8-d4wv-wdms01,1.898,-9.608
2025-12-03T08:45:00Z,qld-aqd8-d4wv-wdms01,1.859,-9.512
2025-12-03T09:00:00Z,qld-aqd8-d4wv-wdms01,1.716,-9.583
2025-12-03T09:15:00Z,qld-aqd8-d4wv-wdms01,1.736,-9.662
2025-12-03T09:30:00Z,qld-aqd8-d4wv-wdms01,1.67,-9.614
2025-12-03T09:45:00Z,qld-aqd8-d4wv-wdms01,1.705,-9.644
2025-12-03T10:00:00Z,qld-aqd8-d4wv-wdms01,1.741,-9.605
2025-12-03T10:15:00Z,qld-aqd8-d4wv-wdms01,1.777,-9.748
2025-12-03T10:30:00Z,qld-aqd8-d4wv-wdms01,1.67,-9.718
2025-12-03T10:45:00Z,qld-aqd8-d4wv-wdms01,1.665,-9.742
2025-12-03T11:00:00Z,qld-aqd8-d4wv-wdms01,1.58,-9.697
2025-12-03T11:15:00Z,qld-aqd8-d4wv-wdms01,1.669,-9.851
2025-12-03T11:30:00Z,qld-aqd8-d4wv-wdms01,1.614,-9.703
2025-12-03T11:45:00Z,qld-aqd8-d4wv-wdms01,1.63,-9.762
2025-12-03T12:00:00Z,qld-aqd8-d4wv-wdms01,1.603,-9.918
2025-12-03T12:15:00Z,qld-aqd8-d4wv-wdms01,1.631,-9.729
2025-12-03T12:30:00Z,qld-aqd8-d4wv-wdms01,1.538,-9.66
2025-12-03T12:45:00Z,qld-aqd8-d4wv-wdms01,1.542,-9.77
2025-12-03T13:00:00Z,qld-aqd8-d4wv-wdms01,1.712,-9.747
2025-12-03T13:15:00Z,qld-aqd8-d4wv-wdms01,1.531,-9.864
2025-12-03T13:30:00Z,qld-aqd8-d4wv-wdms01,1.531,-10.013
2025-12-03T13:45:00Z,qld-aqd8-d4wv-wdms01,1.668,-10.036
2025-12-03T14:00:00Z,qld-aqd8-d4wv-wdms01,1.712,-9.875
2025-12-03T14:15:00Z,qld-aqd8-d4wv-wdms01,1.499,-9.949
2025-12-03T14:30:00Z,qld-aqd8-d4wv-wdms01,1.531,-9.979
2025-12-03T14:45:00Z,qld-aqd8-d4wv-wdms01,1.558,-9.915
2025-12-03T15:00:00Z,qld-aqd8-d4wv-wdms01,1.62,-9.864
2025-12-03T15:15:00Z,qld-aqd8-d4wv-wdms01,1.477,-10.031
2025-12-03T15:30:00Z,qld-aqd8-d4wv-wdms01,1.507,-9.952
2025-12-03T15:45:00Z,qld-aqd8-d4wv-wdms01,1.552,-9.795
2025-12-03T16:00:00Z,qld-aqd8-d4wv-wdms01,1.529,-10.0
2025-12-03T16:15:00Z,qld-aqd8-d4wv-wdms01,1.483,-9.842
2025-12-03T16:30:00Z,qld-aqd8-d4wv-wdms01,1.491,-9.947
2025-12-03T16:45:00Z,qld-aqd8-d4wv-wdms01,1.425,-9.86
2025-12-03T17:00:00Z,qld-aqd8-d4wv-wdms01,1.478,-9.811
2025-12-03T17:15:00Z,qld-aqd8-d4wv-wdms01,1.474,-9.833
2025-12-03T17:30:00Z,qld-aqd8-d4wv-wdms01,1.496,-9.812
2025-12-03T17:45:00Z,qld-aqd8-d4wv-wdms01,1.455,-9.968
2025-12-03T18:00:00Z,qld-aqd8-d4wv-wdms01,1.506,-9.778
2025-12-03T18:15:00Z,qld-aqd8-d4wv-wdms01,1.532,-9.925
2025-12-03T18:30:00Z,qld-aqd8-d4wv-wdms01,1.49,-9.825
2025-12-03T18:45:00Z,qld-aqd8-d4wv-wdms01,1.501,-9.814
2025-12-03T19:00:00Z,qld-aqd8-d4wv-wdms01,1.487,-9.784
2025-12-03T19:15:00Z,qld-aqd8-d4wv-wdms01,1.487,-9.783
2025-12-03T19:30:00Z,qld-aqd8-d4wv-wdms01,1.453,-9.864
2025-12-03T19:45:00Z,qld-aqd8-d4wv-wdms01,1.509,-9.89
2025-12-03T20:00:00Z,qld-aqd8-d4wv-wdms01,1.492,-9.698
2025-12-03T20:15:00Z,qld-aqd8-d4wv-wdms01,1.606,-9.738
2025-12-03T20:30:00Z,qld-aqd8-d4wv-wdms01,1.585,-9.646
2025-12-03T20:45:00Z,qld-aqd8-d4wv-wdms01,1.531,-9.727
2025-12-03T21:00:00Z,qld-aqd8-d4wv-wdms01,1.48,-9.82
2025-12-03T21:15:00Z,qld-aqd8-d4wv-wdms01,1.469,-9.615
2025-12-03T21:30:00Z,qld-aqd8-d4wv-wdms01,1.591,-9.706
2025-12-03T21:45:00Z,qld-aqd8-d4wv-wdms01,1.552,-9.634
2025-12-03T22:00:00Z,qld-aqd8-d4wv-wdms01,1.57,-9.698
2025-12-03T22:15:00Z,qld-aqd8-d4wv-wdms01,1.467,-9.499
2025-12-03T22:30:00Z,qld-aqd8-d4wv-wdms01,1.609,-9.686
2025-12-03T22:45:00Z,qld-aqd8-d4wv-wdms01,1.594,-9.628
2025-12-03T23:00:00Z,qld-aqd8-d4wv-wdms01,1.524,-9.578
2025-12-03T23:15:00Z,qld-aqd8-d4wv-wdms01,1.565,-9.66
2025-12-03T23:30:00Z,qld-aqd8-d4wv-wdms01,1.61,-9.533
2025-12-03T23:45:00Z,qld-aqd8-d4wv-wdms01,1.609,-9.418
2025-12-04T00:00:00Z,qld-aqd8-d4wv-wdms01,1.601,-9.574
2025-12-04T00:15:00Z,qld-aqd8-d4wv-wdms01,1.619,-9.492
2025-12-04T00:30:00Z,qld-aqd8-d4wv-wdms01,1.621,-9.733
2025-12-04T00:45:00Z,qld-aqd8-d4wv-wdms01,1.65,-9.506
2025-12-04T01:00:00Z,qld-aqd8-d4wv-wdms01,1.725,-9.519
2025-12-04T01:15:00Z,qld-aqd8-d4wv-wdms01,1.531,-9.551
2025-12-04T01:30:00Z,qld-aqd8-d4wv-wdms01,1.656,-9.392
2025-12-04T01:45:00Z,qld-aqd8-d4wv-wdms01,1.685,-9.498
2025-12-04T02:00:00Z,qld-aqd8-d4wv-wdms01,1.699,-9.481
2025-12-04T02:15:00Z,qld-aqd8-d4wv-wdms01,1.673,-9.493
2025-12-04T02:30:00Z,qld-aqd8-d4wv-wdms01,1.611,-9.612
2025-12-04T02:45:00Z,qld-aqd8-d4wv-wdms01,1.722,-9.547
2025-12-04T03:00:00Z,qld-aqd8-d4wv-wdms01,1.799,-9.379
2025-12-04T03:15:00Z,qld-aqd8-d4wv-wdms01,1.642,-9.624
2025-12-04T03:30:00Z,qld-aqd8-d4wv-wdms01,1.767,-9.517
2025-12-04T03:45:00Z,qld-aqd8-d4wv-wdms01,1.712,-9.49
2025-12-04T04:00:00Z,qld-aqd8-d4wv-wdms01,1.73,-9.322
2025-12-04T04:15:00Z,qld-aqd8-d4wv-wdms01,1.684,-9.404
2025-12-04T04:30:00Z,qld-aqd8-d4wv-wdms01,1.723,-9.515
2025-12-04T04:45:00Z,qld-aqd8-d4wv-wdms01,1.808,-9.372
2025-12-04T05:00:00Z,qld-aqd8-d4wv-wdms01,1.774,-9.542
2025-12-04T05:15:00Z,qld-aqd8-d4wv-wdms01,1.833,-9.41
2025-12-04T05:30:00Z,qld-aqd8-d4wv-wdms01,1.806,-9.609
2025-12-04T05:45:00Z,qld-aqd8-d4wv-wdms01,1.769,-9.424
2025-12-04T06:00:00Z,qld-aqd8-d4wv-wdms01,1.834,-9.553
2025-12-04T06:15:00Z,qld-aqd8-d4wv-wdms01,1.768,-9.614
2025-12-04T06:30:00Z,qld-aqd8-d4wv-wdms01,1.785,-9.562
2025-12-04T06:45:00Z,qld-aqd8-d4wv-wdms01,1.727,-9.535
2025-12-04T07:00:00Z,qld-aqd8-d4wv-wdms01,1.742,-9.611
2025-12-04T07:15:00Z,qld-aqd8-d4wv-wdms01,1.7,-9.541
2025-12-04T07:30:00Z,qld-aqd8-d4wv-wdms01,1.78,-9.647
2025-12-04T07:45:00Z,qld-aqd8-d4wv-wdms01,1.667,-9.566
2025-12-04T08:00:00Z,qld-aqd8-d4wv-wdms01,1.759,-9.596
2025-12-04T08:15:00Z,qld-aqd8-d4wv-wdms01,1.705,-9.652
2025-12-04T08:30:00Z,qld-aqd8-d4wv-wdms01,1.766,-9.699
2025-12-04T08:45:00Z,qld-aqd8-d4wv-wdms01,1.738,-9.668
2025-12-04T09:00:00Z,qld-aqd8-d4wv-wdms01,1.784,-9.652
2025-12-04T09:15:00Z,qld-aqd8-d4wv-wdms01,1.722,-9.548
2025-12-04T09:30:00Z,qld-aqd8-d4wv-wdms01,1.598,-9.655
2025-12-04T09:45:00Z,qld-aqd8-d4wv-wdms01,1.665,-9.669
2025-12-04T10:00:00Z,qld-aqd8-d4wv-wdms01,1.6,-9.516
2025-12-04T10:15:00Z,qld-aqd8-d4wv-wdms01,1.624,-9.739
2025-12-04T10:30:00Z,qld-aqd8-d4wv-wdms01,1.715,-9.757
